"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80"
"1","A1",5,4.91,4.8,4.8,4.8,4.99,5.3,4.81,4.61,5.5,6.1,6.1,5.73,3.62,2.4,2,2,2.56,3.31,3.97,4.2,4.2,4.2,4.18,3.41,2.56,2,1.9,1.21,1.2,1.06,1.02,2.73,3.08,2.82,2.5,3.04
"2","A2",5,5,5,5,5,5,5,4.83,4.8,4.8,4.8,4.8,4.84,5.36,5.4,5.4,5.4,5.4,5.4,5.48,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.97,6,6.14,6.2,6.2,6.2,6.2,6.2,6.06,6
"3","A3",5,5,3.99,3.6,3.6,4.98,4.69,4,4,4.03,5,5,5,5,5,5,5.01,5.36,4.98,5,5,5,5,5,5,4.21,4.2,4,4.38,4.07,2.92,3,3,3,2.9,2.93,4.43
"4","A4",5,5.1,5,4.9,4.84,4.8,4.6,4.6,4.57,4.5,4.5,4.57,5.12,5.4,5.5,5.5,5.5,5.5,5.5,5.46,4.89,4.54,4.4,4.4,4.4,4.4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1
"5","A5",5,5,5,5,5,4.39,4,4,4,4,4,4,4,4,4,4,4.55,4.55,4.55,4.72,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
"6","A6",5,5.01,5.1,5.1,5.13,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.26,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.91,5.1,5.1,5.1,5.1,5.1,5.1
"7","A7",5,5,5,5,4.8,4.37,4.06,4,4.32,4.4,4.5,4.5,4.5,4.5,5.39,6.01,6,6,6,6,6,6,6,6,4.88,4.36,4,4,4,5.03,4.59,4.3,4,4,4,4.02,4.92
"8","A8",5,5.06,6,7.02,8,8,8,8,8,7.9,5.88,5.6,4.78,4.2,4.41,7.14,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.6,7.8,7.8,7.8,8,8,8,8,7.87,6.69,6.33
"9","A9",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.01,6.25,7.1,7,7,7,7,7,7,7,7,7,7,7,7,7
"10","A10",5,5,5.03,5.1,5.12,5.4,5.42,5.4,5.6,5.6,5.6,5.6,5.6,5.6,5.8,6.2,6.3,6.49,7.1,7.4,8.1,8.1,8.1,8.1,7.99,7.9,7.9,7.9,7.9,7.9,7.87,7.5,7.33,7.3,7.3,7.33,7.5
