"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60"
"1","A1",5,5,5,5,4.92,4.8,4.77,4.7,4.7,4.7,4.7,4.7,4.7,4.62,4.6,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.98,5.2,5.3,5.3
"2","A2",5,5,5,5,5,5,5,5,5.12,5.3,5.3,5.47,5.5,5.5,5.68,5.7,5.7,5.7,5.87,5.9,5.9,6,6,6,6,6,6.07
"3","A3",5,5,5,5,5,5.04,6,6,6,6,6,6,6,6,6.14,6.5,6.5,6.77,7,7,7,7,7.01,7.5,7.5,7.5,7.5
"4","A4",5,5,5,4.82,4.8,4.8,4.8,4.8,4.8,4.8,4.6,4.6,4.5,4.5,5.06,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.6,5.6,5.6,5.6
"5","A5",5,5,5,5,5,5,5,6.42,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54
"6","A6",5,5,5,5.04,5.2,5.2,5.2,5.2,5.24,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"7","A7",5,5.13,5.79,6,6,6,6.38,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6,6,6,6,6.57,7,7,6.52,6.5,6.5
"8","A8",5,5,5,5,5,5,5,5,5.14,6.38,6.4,6.4,6.5,6.5,6.43,5.86,7,7,6.97,6.84,6.8,5.21,4.2,4.09,4.28,5.9,5.9
"9","A9",5,5,5,5,5,5,5.33,5.7,5.8,5.8,5.8,5.8,5.8,5.8,6.07,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.6,6.6,6.6,6.6
"10","A10",5,5.03,5.3,5.73,5.8,5.8,6.29,7.06,7.1,7.12,7.6,7.53,7.5,7.5,7.6,7.6,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.51,7.4
"11","A11",5,5,5,5,5,5,5,5,5,5.16,6.1,4.81,4.6,4.6,4.6,4.72,5.6,4.94,4.6,4.6,4.6,4.34,4.3,4.3,4.3,4.3,4.39
"12","A12",5,5,5,5,5.2,5.2,5.2,5.2,5.2,5.22,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"13","A13",5,5,5,5,5,5.37,6.1,6.1,6.1,6.1,6.57,6.82,6.9,6.9,7.21,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
"14","A14",5,5,5,5,5,5,5,5,4.63,4,4,4,4,4,4,4,4.01,5,5,5,5,5,5,5,5,5,5
"15","A15",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"16","A16",5,5,5,5,5,5.27,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.74,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
"17","A17",5,5,4.67,4.6,4.6,4.6,4.6,4.6,5.08,5.3,5.3,5.3,5.3,5.3,5.33,6,6,6,6,6,6,6,6.02,5.37,5,5,5
"18","A18",5,5.63,7.37,6.56,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
"19","A19",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5.2
"20","A20",5,5.2,5.2,5.36,5.4,5.4,5.4,5.5,5.8,5.89,6.77,6.79,7.08,7.31,7.4,7.4,7.4,7.4,7.4,7.39,7.01,7,7,7,6.94,7.1,7.1
"21","A21",5,5,5,5,5,5,5,5,5,5,5,4.99,3.86,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
"22","A22",5,5,5,5,5,5,5,5,5,5.27,5.3,5.3,5.3,5.3,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"23","A23",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
"24","A24",5,5,5,5.12,5.3,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.88,5.91,6.1,6.1,6.4,6.4,6.4,6.4,6.4,6.46,6.5,6.63,7.44
"25","A25",5,4.98,4.86,4.47,4.12,3.17,3,3,3,3,3,2.91,2.71,2.6,2.78,3.19,3.5,3.53,3.6,3.6,3.57,3.36,3.3,3.18,3,3,3
"26","A26",5,6.02,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.48,5.6,5.6
"27","A27",5,5,5,5,5,5,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.79,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.96,5,5
"28","A28",5,5,4.83,5.2,5.48,5.62,6.09,6.14,6.5,6.5,6.52,6.9,6.9,6.9,6.9,7.39,7.4,7.42,7.7,7.7,7.7,7.7,7.7,7.7,8.16,8.2,8.2
"29","A29",5,5,5,5,5,5,5,5,5,5.39,5.92,6.3,6.3,6.3,6.3,6.3,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
"30","A30",5,5.06,5.2,5.3,5.32,5.43,5.5,5.52,5.6,5.7,5.8,5.83,5.9,6,6.06,6.17,6.2,6.2,6.18,6.3,6.3,6.4,6.56,6.63,6.7,6.8,6.8
"31","A31",5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5,4.93,4.81,4.7,4.83,4.86,4.8,4.9,5.2,5.43,5.51,5.77,5.43,5.5,5.5,5.5,5.5,5.5
"32","A32",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"33","A33",5,5,5,5,5.26,6.12,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.01,6,6.04,6.88,7,7.1,7.1,7.1,7.1,7.1,7.1
"34","A34",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"35","A35",5,5.5,6.12,6.5,6.96,7.29,7.4,7.4,7.5,7.51,7.98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"36","A36",5,5,5.6,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
"37","A37",5,5,5,5,5,4.88,5,4.82,4.7,4.6,4.5,4.4,4.38,4.3,4.4,4.3,4.2,4.14,4.1,4,4,4,4,3.97,3.9,3.9,3.9
"38","A38",5,5,4.83,4.54,4.5,4.5,4.49,4.56,4.1,4.2,4.29,4.89,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.58
"39","A39",5,4.99,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.58,4.3,4.3,4.3,4.3,4.56,4.8,4.8,4.8,4.8,4.8,4.79,4.43,4.3,4.3,4.3,4.3
"40","A40",5,5,5.24,5.67,5.71,5.97,6.29,6.32,6.31,6.57,6.54,6.71,6.9,6.92,7.09,7.36,7.32,7.4,7.4,7.44,7.21,7.19,7.2,7.3,7.3,7.3,7.3
