"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52"
"1","A1",5,5,5,4.92,4.9,4.66,4.6,4.6,4.46,4.11,4.1,4.18,4.94,5,5.07,5.2,5.21,5.63,6.19,6.3,6.3,6.82,7.41
"2","A2",5,5,5,5,5,5,5,4.76,4.6,4.6,4.6,4.47,4.27,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.59,4.6
"3","A3",5,5,5.3,5.62,6.28,7.3,7.5,7.5,7.5,7.5,7.48,5.46,4.48,4.5,4.5,3.5,3.54,3.83,3.5,3.79,7.02,7,7
"4","A4",5,5,4.77,4.6,4.5,3.99,3.8,3.8,3.8,3.72,3.8,3.46,3.3,3.2,3.23,3.59,3.6,3.7,3.6,3.68,3.9,3.9,4
"5","A5",5,5,5,5,5,5,5,5,5,5,5.06,6.4,7.63,7.54,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47
"6","A6",5,5,5,5.1,5.3,5.3,5.3,5.3,5.29,4.8,4.91,5.1,5.1,5.1,5.13,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
"7","A7",5,5.69,7,7,7,7,6.96,6.5,6.5,5.99,6,6,6,5.96,4.6,4.6,5.77,6.17,7,7.19,7.5,7.5,7.5
"8","A8",5,5,6.03,8.36,8.4,8.4,8.58,8.6,8.6,8.6,8.6,8.6,8.6,7.73,7.78,8.19,8.2,8.2,6.21,6.7,7.9,8.2,8.2
"9","A9",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.81,5.9,5.9,5.9,5.9,5.9
"10","A10",5,5,5.36,5.6,5.6,5.6,5.6,5.92,6.2,6.2,6.2,6.2,6.11,5.9,5.9,5.9,5.9,5.91,6.58,6.6,6.6,6.64,6.7
"11","A11",5,5.06,6.06,6.1,6.97,7,7,7,7,7,7,7,6.3,6.3,6.64,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
"12","A12",5,5.11,5.91,7.09,7,7,7.11,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.53,7.5,7.69,7.7,7.7,7.7,7.5
"13","A13",5,5.03,5.79,5.8,5.8,5.8,6.19,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.21,7.3,7.3,7.3
"14","A14",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.69,4,4,4,4,4,4,4
"15","A15",5,4.91,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
"16","A16",5,5,5,5.86,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
"17","A17",5,5,5.4,5.5,5.5,5.43,4.98,4.6,4.6,4.6,4.6,4.6,5.29,5.3,5.3,5.3,5.58,5.6,5.6,5.6,5.7,5.7,5.7
"18","A18",5,5,5,4.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","A19",5,5,5,5.27,5.87,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,6,6,6,6,6,6,6,6
"20","A20",5,5,5.24,5.73,6.39,6.99,7.3,7.46,7.71,8.02,8.62,8.7,8.7,8.6,8.42,8.2,8.44,8.78,8.9,8.9,9,9,9
"21","A21",5,5,5,4.62,4,4,4,3.9,3.79,3.53,3.5,3.5,3.41,3.4,3.4,3.64,4,4,4,4,4,4,4
"22","A22",5,5,5,5,5,5,5,5,5,5.07,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.5,5.5,5.5,5.5,5.5,5.5
"23","A23",5,5,5,5,5,5,5,5,4.86,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.46,4.4
"24","A24",5,5,5.04,5.29,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,6.13,6.2
"25","A25",5,5,5.06,5.36,5.42,5.5,5.5,5.5,5.6,5.7,5.7,5.7,5.77,5.81,6,6,6,6,6,6,6,6.08,6.1
"26","A26",5,5,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
"27","A27",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.06,4.96,5.27,5.34,5.34,5.4,5.4,5.4,5.4
"28","A28",5,5.1,5.6,5.6,5.62,6,6,6,6,6,6.4,6.4,6.4,6.66,7.2,7.5,7.5,7.37,6.64,6.4,6.4,6.8,6.8
"29","A29",5,5,5,5,5.38,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.42,5.89,6
"30","A30",5,5,5.14,5.3,5.4,5.4,5.5,5.5,5.6,5.61,5.8,5.8,5.9,5.9,6,6,6.07,6.11,6.2,6.3,6.38,6.4,6.4
"31","A31",5,5,5.2,5.49,5.5,5.5,5.63,6.1,6.1,6.1,6.1,6.1,6.33,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.38,6.14
"32","A32",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.44
"33","A33",5,5,4.66,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5.05,5.4,5.4,5.4,5.4,5.4,5.4,5.51,5.8,6,6
"34","A34",5,5,5,5,5,5,5,5,5,5,5,5,3.63,3,3,3,3,3,3,3,3,3,3
"35","A35",5,5.47,6.39,7.37,7.97,8,8,8,8,8,8,8,8,8.04,8.1,8.2,8.3,8.3,8.4,8.4,8.4,8.4,8.4
"36","A36",5,5.13,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
"37","A37",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"38","A38",5,5,5,2.26,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
"39","A39",5,5.06,5.34,5.5,5.61,6,6,6,6.06,6.4,6.5,6.79,6.8,6.8,6.83,7.09,7.1,7.1,7.1,7.1,7.28,7.5,7.5
"40","A40",5,5.03,5.34,5.33,5.52,5.6,5.58,5.54,5.19,4.73,4.96,5.36,4.84,4.1,4.71,5.76,5.86,5.85,5.72,6.07,6.24,6.42,6.6
"41","A41",5,5,5,5,4.82,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.78,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
"42","A42",5,5,5,4.98,4.33,4,3.82,2.7,2.7,2.32,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.32,2.6,2.6,2.6,2.71,2.8
"43","A43",5,5,5,5,5,5,5,5,5,5.06,4.9,4.9,4.91,5.2,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"44","A44",5,5,5,5,5.24,6.16,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
"45","A45",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"46","A46",5,5,5,5.04,5.4,5.4,5.4,5.5,5.5,5.5,5.58,5.8,5.8,5.87,5.9,5.97,6,6,6,6,6,6,6
"47","A47",5,5.03,5.16,5.3,5.3,5.32,5.51,5.7,5.7,5.7,5.79,6.19,6.2,6.1,6.17,6.4,6.4,6.4,6.4,6.44,6.61,6.7,6.7
"48","A48",5,5,5,5,5,5,5,4.1,3.54,3,3,3,3,3,3,3.1,3.94,4,4,4,4,4,4
"49","A49",5,4.84,3.85,3.85,3.85,3.85,5.05,6.22,7.07,5.28,3.07,3.28,2.68,2.85,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56
"50","A50",5,5.61,7,7,7,7,7,7,7,7,7,7.56,8,8,8,8,8,8,8,8,8,8,8
"51","A51",5,5,5.04,5.1,5.11,5.2,4.97,4.71,4.7,4.7,4.69,4.5,4.5,4.5,4.48,4.3,4.24,4,4,4,4,4.16,4.7
"52","A52",5,5,5,5,5,5,5,5,5,5,5,5,5,4.92,4.33,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
"53","A53",5,5,5,5,5,5,5,5,5.67,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"54","A54",5,4.93,6.63,7.97,8.71,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"55","A55",5,4.93,4.8,5.1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.43,6.32,6.5,6.5,6.5,6.5,6.5,6.87,7
"56","A56",5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.08,4.02,3.6,3.5,3.5,3.53,3.6
