"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68"
"1","A1",5,5,5,5.1,5.3,5.3,5.43,5.77,6,6,6,6,6,6,5.91,6.29,6.3,6.3,6.12,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.77,5.36,5,5,4.9
"2","A2",5,5,5,5,5,5,5,5,5,5.18,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.51,5.6,5.6,5.62,5.94,6,6,6.14,6.4,6.4,6.4
"3","A3",5,5,4.98,4.13,4,4,4,3.66,3.5,3.54,4.48,4.5,4.5,4.5,4.07,3.5,3.5,3.4,3,3,3,3,3,3,3,3.34,4.08,4.5,4.5,4.5,4.5
"4","A4",5,5,5,5.07,5.2,5.2,5.29,5.3,5.33,5.5,5.5,5.5,5.51,5.6,5.6,5.6,5.71,5.8,5.9,5.9,5.9,5.6,4.91,4.42,4.11,4.1,4.1,4.1,4.1,4.1,4.1
"5","A5",5,5,5,5,5.16,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,3.99,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94
"6","A6",5,5,5,5,5,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.31,5.4,5.4,5.4,5.4,5.4,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
"7","A7",5,5,4.62,4.6,5.5,5.34,4.9,4.86,4.7,5.34,5.7,5.7,5.7,5.7,6.03,6.1,6.11,6.2,4.83,4.97,5.9,5.9,5.9,6.17,6.5,6.5,6.5,6.5,6.57,7,7
"8","A8",5,5,5,5.2,5.2,5.2,5.3,5.4,6.57,6.6,6.6,6.6,6.6,7.8,7.8,7.87,8.1,8.14,8.3,8.26,7.47,6.2,5.67,4.61,4.3,4.37,7.33,8.74,7.91,7.67,7.6
"9","A9",5,5,5,5,5,5,5,5.07,5.83,6,6,6,6,6,6.28,6.47,6.5,6.56,6.98,7,7.26,7.3,7.3,7.26,7.53,7.49,6.77,6.61,6.5,6.5,6.5
"10","A10",5,5,5,5,5,5,5,5.23,5.3,5.3,5.3,5.3,5.3,5.43,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.44,5.2,5.2,5.2,5.26,5.3,5.3,5.73,5.8
