"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90"
"1","A1",5,4.9,4.7,4.7,4.6,4.48,4.4,4.3,4.22,4.2,4.2,3.82,3.17,3,2.8,2.8,2.8,2.54,2.44,2.1,2.1,2,1.91,1.9,1.9,1.9,1.9,1.9,1.81,1.54,1.11,1.02,1.67,1.6,1.81,2.03,1.93,1.88,2.44,2.5,2.5,2.09
"2","A2",5,5,5,5,5,5,5,5,5.02,4.92,4.8,4.8,4.8,4.8,4.8,4.8,4.61,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
"3","A3",5,5,5,4.5,4.5,4.5,4.5,4.5,5.2,5.5,5.5,5.5,5.44,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.9,2.9,2.9,2.55,1.88,2.7,4.51,5.32,5.22,4.6,4.6,4.91,4.82,5.03,5.5,5.11
"4","A4",5,5.13,5.4,5.5,5.8,5.88,5.9,5.9,5.9,6,6.07,6.27,6.3,6.4,6.4,6.4,6.4,6.4,6.22,5.8,5.7,5.63,5.44,4.6,4.1,3.9,3.9,3.8,3.7,3.6,3.52,3.3,5.29,5.34,5.48,5.7,5.8,6.36,6.4,6.72,7,7
"5","A5",5,5,5,5,5,5,5,5,5,4.74,3.82,3.64,5.54,6.04,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18
"6","A6",5,5,5,4.8,4.8,4.8,4.76,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
"7","A7",5,5,4.04,4,4,4,4,4,4,4,4,4,4.87,5,5,4.68,4.06,3,2.8,2.8,2.8,2.6,2.6,2.6,2.52,2.4,2.3,2.3,2.3,3.03,2.49,3.1,3.96,3.94,4,4.08,4,3.93,3.5,3.5,3.5,3.21
"8","A8",5,5,5,5.06,5.57,5.83,6,6,6.06,6.2,6.21,6.57,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.66,6.44,6.37,6.3,6.3,6.02,3.6,3,4.13,7.65,7.8,7.8
"9","A9",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.21,6.8,6.8,6.8,6.8,6.83,7.1,7.1,7.09
"10","A10",5,4.92,4.7,4.46,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.01,4.4,4.34,4.1,4.1,4.1,4.1,4.1,3.74,3.5,3.3,3.28,3.2,2.9,2.97,3.2,3.3,3.56,3.6,3.6,3.6,3.65,3.5,3.11,3.1,3.02,2.99,3,3.1,3.1,3.1
"11","A11",5,5,5,5.5,5.5,5.5,4.6,4.6,4.6,4.6,4.52,5.4,6.18,4.81,4.8,4.8,4.8,4.8,4.8,4.4,4,3.94,4.11,4.2,3.9,3.9,3.9,3.9,3.82,3.61,3.3,3.58,4.04,5.2,5.2,5.2,4.71,6.04,6.4,6.4,4.9,4.59
"12","A12",5,5,5,4.87,4.5,4.5,4.5,4.77,4.83,5.31,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.37,4.62,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.46,4,4
"13","A13",5,5,5,5,5,5,5,5.16,5.37,5.59,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.13,4.9,4.9,4.98,5.1,5.1,5.1,5.1,5.02,2.94,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
"14","A14",5,5,5,5,5,5,5,5,5,5,5,5,5.4,6,6,6,6,6,5.21,3,3,3,3,3,3,3,3,3,3,3.87,4,3.98,2.66,2.5,2.5,2.5,3.28,4.8,4,4,4,4
"15","A15",5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2
"16","A16",5,6.56,7.06,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.96,6.9,6.9,6.82,6.7,6.7,6.7,6.7,6.7,6.7,6.7
"17","A17",5,5.09,5.3,5.51,5.7,5.83,5.93,6.04,6.16,6.31,6.69,6.76,6.8,6.9,6.9,6.8,6.8,6.83,6.9,6.9,6.48,5.88,5.37,5.3,5.4,5.5,5.33,5.29,5.02,4.82,4.39,4.46,5.08,5.66,5.77,5.96,6.29,6.3,6.5,6.5,6.6,6.61
"18","A18",5,5.17,6.26,7,7.03,7.33,7.04,6,6,6,6,6.83,7.1,7.1,7.1,7.1,7.1,6.18,6.64,7.1,8.08,8,8,8,8,7.91,7.24,6,6,5.9,4.73,4.6,4.7,4.7,4.7,4.73,5,5,5.28,5.5,5.81,6.21
"19","A19",5,5,5,5,5,5,4.76,4.1,4.1,4.1,4.12,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.17,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
