"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70"
"1","A1",5,5.03,5.51,6,6,6,6,6,6.1,6.1,6.2,6.2,6.21,6.3,6.3,6.3,6.79,7,7,7.03,7.32,7.4,7.4,7.4,7.49,7.97,8,8,8,8,8,8
"2","A2",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.2,5.36,5.4,5.4,5.4,5.6,5.6,5.92,6.1,6.1,6.1,6.1,6.37,6.5,6.6,6.6,6.7,6.9
"3","A3",5,5.04,7.42,8.5,8.5,8.5,8.5,8.2,7.5,7.5,7.5,7.5,7.96,7.5,7.5,7.5,7.6,8.5,8.5,8.5,8.5,8.01,8,8,8,8.5,8.5,8.5,8.5,8.6,8.6,8.6
"4","A4",5,5,5.21,5.4,5.66,6.29,6.5,6.54,6.72,7.07,7.1,7.1,7.1,7.11,7.2,7.2,7.72,7.8,7.9,8,8.06,8.2,8.59,8.68,8.7,8.7,8.7,8.76,9,9,8.83,8.68
"5","A5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.42,5.41,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44
"6","A6",5.04,5.1,5.1,5.1,5.1,5.2,5.2,5.31,5.4,5.47,5.64,5.5,5.5,5.6,5.6,5.6,5.71,5.8,5.8,5.8,5.82,5.9,5.9,5.9,5.9,6.14,6.3,6.3,6.45,6.5,6.5,6.5
"7","A7",5,4.36,3.63,6,6,5.97,4.52,4.5,4.5,4.86,6.44,6.5,6.46,4.43,4.81,4.8,6,5.52,5,4.65,4,4,3.77,3.5,3.81,6.37,6.5,6.53,7,7.02,8,8
"8","A8",5,4.33,4.36,6.7,6.7,6.7,6.92,7.1,7.1,7.13,7.5,7.5,7.5,7.47,5.8,5.91,6.98,7.91,8.09,7.43,7.4,7.4,7.4,7.43,7.7,7.84,8.1,8.2,8.4,8.4,8.5,8.5
"9","A9",5,5,5,5,5,5,5,5,5,5,5.84,6.9,6.86,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
"10","A10",5,4.5,4.5,4.5,4.83,5.1,5.1,5.1,4.63,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.5,4.88,5.22,5.3,5.4,5.4,5.68,5.7,5.6,5.42,5.4,5.4
"11","A11",5,5,5.44,6.3,6.3,6.3,6.3,5.74,5.4,5.57,4.92,4.96,6.2,6.2,6.2,6.48,6.9,6.21,6.2,6.2,5.6,5.6,5.6,5.82,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8
"12","A12",5,5,5.1,5.14,5.3,5.3,5.39,5.4,5.4,5.4,5.4,5.4,5.44,4.5,4.5,4.5,4.6,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.08,5.91,6.58,6.95,7.1,7.12
"13","A13",5,5,5,5,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.42,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,6.03,7.3,7.3,7.3,7.3,7.3,7.3
"14","A14",5,5,5,6.1,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"15","A15",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"16","A16",5,5,5,5,5,5.27,5.36,5.43,5.7,5.9,6,6,6,6.08,6.2,6.2,6.37,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"17","A17",5,4.64,4.1,4.1,4.1,3.88,3.68,3.6,3.6,3.6,3.7,3.7,3.83,3.12,3.2,3.31,3.5,3.66,3.5,3.3,3.62,3.67,3.6,3.9,3.9,4,4.1,4.06,4.08,4.2,4.2,4.2
"18","A18",5,4.36,6.27,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"19","A19",5,5,5.04,6.3,6.43,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.52,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
"20","A20",5,3.99,3.5,3.5,3.5,3.49,3.4,3.4,3.4,3.4,3.79,3.86,4.21,4,4,4.07,4.59,4.9,4.9,4.88,4.8,4.8,4.8,4.8,4.9,4.93,5.1,5.2,5.2,5.2,5.2,5.2
"21","A21",5,5.4,5.69,6.39,6.99,7,7,7,7,7.01,7.4,7.4,7.4,7.5,7.5,7.5,7.51,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
"22","A22",5,5,5.2,5.31,5.41,5.96,6,6,6,6,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.49,6.98,7,7,7,7,7,7,7
"23","A23",5,5,5,5,5,5,5,5,5,5,5,5.41,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"24","A24",5,5,5,5.2,5.41,6.12,6.81,7,7,7.08,7.14,7.4,7.4,7.4,7.4,7.48,7.6,7.6,7.6,7.7,7.7,7.7,7.7,7.7,7.77,8.43,8.61,8.7,8.94,9,9,9
"25","A25",5,5.27,5.46,5.52,6.78,6.92,7,7,7.23,7.4,7.29,6.97,6.8,7.4,7.5,7.5,7.6,7.6,7.6,7.51,7.5,7.5,7.5,7.41,7.3,7.19,7.02,6.9,6.8,6.8,6.61,6.5
"26","A26",5,5,5.7,7.27,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
"27","A27",5,5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.81,4.86,4.8,4.8,4.7,4.7,4.7,4.88,4.8,4.89,4.9,4.9,4.9,4.9,4.94,5.16,5.29,5.35,5.4,5.4,5.4,5.4,5.4
"28","A28",5,5,5.07,5.6,6,6.01,6.3,6.52,6.6,7.06,7.5,7.38,7.38,7.7,7.86,7.93,8,8,8,8.14,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.54,9,9,8.8,8.52
"29","A29",5.08,5.1,5.69,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.39,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.85,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
"30","A30",5,5,4.83,4.7,4.67,4.9,4.97,4.86,4.88,5.19,5.3,5.7,5.96,6.09,6.04,6.2,6.2,6.3,6.4,6.5,6.37,6.4,6.5,6.6,6.6,6.6,6.7,6.96,7.03,7.3,7.3,7.42
"31","A31",5,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.8,4.76,4.7,4.88,5.2,5.37,5.4,5.34,5.3,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"32","A32",5,5,5,5,5,5,5.03,5.1,5.16,5.61,5.82,6.39,6.96,7,7,7,7,7,7,7,7,7,7,7,7,7,7.2,7.2,7.2,7.2,7.2,7.2
"33","A33",5,5,5.53,6.9,7,7,7,7,7,7.34,7.5,7.21,7,7,7,7,7.19,7,7,7,7,7,7,7,7,7,7.33,7.5,7.6,7.6,7.88,8
"34","A34",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.43,6,6,6,6.04,6.2
"35","A35",5,4.3,4,4,4,4.2,4.2,4.3,4.3,4.33,4.84,5.13,5.14,4.68,4.5,4.47,5.06,4.76,4.4,4.4,4.33,4.06,4,4.04,4.2,4.32,4.46,4.7,5,5,5.27,5.3
"36","A36",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"37","A37",5,5,5.31,5.43,5.3,5.48,5.5,5.63,5.7,5.7,5.6,5.78,5.8,5.86,5.64,5.81,6.1,6.2,6.17,6.24,6.4,6.4,6.4,6.46,6.6,6.6,6.6,6.77,6.9,6.9,7.08,7.09
"38","A38",5,4.83,4.89,5.82,6.68,6.7,6.7,6.7,6.7,6.7,6.63,5.02,4.86,5.2,5.2,5.2,5.2,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.43,5.7,5.7,5.34,4.42
"39","A39",5,5,5,5,5.21,5.5,5.5,5.5,5.5,5.71,6,6,6,6,6,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.52,6.99,7.39,7.49,7.64,7.75,8.1,8.1,8.1
"40","A40",5.01,5.41,5.67,6.54,7.34,7.36,7.64,7.86,8.03,8.27,8.36,8.5,8.49,8.17,7.93,7.76,8.1,8.43,8.21,7.92,8.08,7.96,8.08,8.07,8.34,8.59,8.56,8.66,8.73,8.61,8.67,8.8
"41","A41",5,5.38,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.66,5.7,5.7,5.7,5.7,5.7,5.76,6,6,6.1,6.13,6.23,6.3,6.39,6.43,6.5,6.6,6.6,7.02,7.6,7.6
"42","A42",5,5,5.08,5.62,5.91,6.26,6.3,6.3,6.4,6.4,6.44,6.71,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.94,7.44,8.02,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
"43","A43",5,5,5.09,5.17,5.46,5.6,5.82,6,6,6,5.93,5.8,5.91,6.2,6.46,6.67,6.89,6.9,6.9,6.94,7,7.1,7.3,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.54
"44","A44",5,5,5.21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"45","A45",5,5,5,5,5,5,5.14,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"46","A46",5,5,5,5,5,5,5,5,5,5,4.82,4.8,4.73,4.59,4.57,4.72,4.81,5.37,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.6,5.6,5.6,5.6,5.6,5.6
"47","A47",5,5,5.44,5.98,6,6,6.12,6.33,6.57,6.6,6.6,6.6,6.6,6.89,7,7,7,7,7,7,7,7,7,7,7.13,7.5,7.53,8.06,8,8,8,8
"48","A48",5,5,5,5,5.3,5.97,6.2,6.2,6.2,6.2,6.2,6.14,5.01,5,5,5,5,5,5,5,5.11,5.33,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"49","A49",5,5,5,5.43,7.14,6.98,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.44,8.08,7.7
"50","A50",5,5,5,5,5,5,5,5,5,5,5.24,7,7,7.04,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"51","A51",5,4.28,3.9,4.06,4.3,4.3,4.3,4.3,4.3,4.55,5.4,5.68,6,5.76,5.56,5.46,5.88,6.1,6.2,6.2,6.4,6.4,6.48,6.5,6.5,6.5,6.5,6.5,6.5,6.51,6.95,7.1
"52","A52",5,5,5,5.78,6.94,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"53","A53",5,5,5,5,5,5,5.24,5.91,6.72,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"54","A54",5,5,5,5,5,5,5,5.3,5.69,5.84,5.9,5.99,6.18,6.86,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
"55","A55",5.04,5.94,6.47,7,7,7,7.1,7.18,7.2,7.2,7.17,6.27,5.87,6.8,6.8,6.94,7.28,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.37
"56","A56",5,4.91,4.92,5,5.36,6,6,6,6.13,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.68,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
"57","A57",5,5.33,5.4,5.4,5.73,6,6,6,6,6,6,6,6,6.12,6.4,6.73,6.94,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"58","A58",5,5.61,6.2,6.52,7,7,7,7,7,7,7.21,6.18,5.81,7.3,7.3,7.3,7.36,8.27,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.32,8.3,6.81,6.7,6.7,6.7,6.7
"59","A59",5,5,5,5,5,5,5,5,5,5,5,5,5.01,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
"60","A60",5,5,5,5,5,5,5.52,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.24,6.98,7,7,7,7,7,7
"61","A61",5,5,5,5.01,6.1,6.1,6.1,6.1,5.78,5.6,5.6,5.6,5.6,5.23,4.6,4.6,4.94,4.86,4.8,4.8,4.7,4.7,4.5,4.51,5.08,5.77,6.33,6.86,6.99,7.2,7.14,6.58
"62","A62",5,5,5,5,5,5.19,5.3,5.3,5.3,5.56,5.7,5.7,5.7,5.7,5.7,5.8,5.9,5.9,5.9,5.96,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
"63","A63",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
