"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84"
"1","A1",5,5.51,6.5,6.5,6.5,6.56,6.8,6.8,6.8,7.17,7.91,8.02,9,9,9,9,9,9,9,9,9,9,9,9,8.78,8.04,6.96,7,7,7,7.04,8,8,8,8,8,8.83,9,9
"2","A2",5,5,5,5.09,5.2,5.2,5.39,5.5,5.5,5.5,5.5,5.57,5.6,5.6,5.66,5.7,5.7,5.7,5.7,5.7,5.78,5.9,5.9,5.9,5.9,5.9,5.94,6,6,6,6,6,6.14,6.2,6.2,6.3,6.3,6.3,6.3
"3","A3",5,5,5.09,7.02,7.5,7.5,7.5,7.5,7.5,7.5,7.98,8,8,8,8,8,8,8,8,8,8,8,8,8,8.09,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.4,8.4,8.4,8.4,8,8
"4","A4",5,5.08,5.1,5.1,5.14,5.3,5.3,5.3,5.3,5.3,5.31,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7,5.68,5.4,5.4,5.57,5.84,6.67,7.53,7.7,7.7,7.9,7.9,7.9,8,8,8.1,8.1,8.07,7.9,7.9,7.9
"5","A5",5,5,5.03,5.51,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.9,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34
"6","A6",5,5.02,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.44,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.51,5.8,5.8,5.8,5.8,5.8,6.1,6.1,6.1
"7","A7",5,4.96,5.31,6.15,6.63,6.4,6.4,6.4,6.4,6.24,6,6,6,6,5.99,5,6.83,7,7,7.16,7.4,7.87,6.34,6,6,6.14,6.3,6.3,6.3,5.99,6.04,4.9,4.9,4.9,4.9,5.04,5.16,6,6
"8","A8",5,5,5.64,5.81,6,6.17,6.2,6.2,6.2,6.2,6.12,5.61,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.72,5.8,4.83,4.6,4.78,7.4,7.54,7.6,7.6,7.6,7.6,7.7,7.1,6.56,7.3,7.3,7.14,6.21,5.6,5.6
"9","A9",5,5,5.26,5.76,6.11,6.32,6.6,6.6,6.6,6.6,6.6,6.6,6.62,7.34,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.43,4.58,5.31,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.59,7.6
"10","A10",5,5,4.32,4.08,3.5,3.5,3.5,3.5,3.46,2.83,2.58,2.49,1.83,1.7,1.7,1.7,1.7,1.8,2.2,2.2,2.22,2.51,2.6,2.6,2.6,2.6,2.71,3.1,3.13,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.34,3.8,3.8
