"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122","V124"
"1","A1",5,5,5,5,4.77,4.5,4.5,4.4,4.4,4.4,4.41,4.89,5.26,5.3,5.12,4.91,5.48,5.52,5.5,5.68,6,4.42,4.3,4.3,4.12,4.01,3.84,3.8,3.8,3.8,3.8,3.7,3.6,3.41,3.4,3.4,3.4,3.16,3,3,3,3,3,3,3,3.16,3.52,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6
"2","A2",5,5,5,4.79,4.31,4,4,4,4,4,4,4,4,4,4,5.18,5,5,5,5,5,4.92,4.8,4.8,4.6,4.6,4.5,4.5,4.5,4.47,4.4,4.4,4.4,4.2,4.44,5.01,5.18,5.2,5.2,5.16,5,4.96,4.71,4.7,4.66,4.57,4.5,4.5,4.5,4.4,4.5,4.7,4.8,4.8,5.23,5.6,5.6,5.6,5.41
"3","A3",5,5,5,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.2,4.2,4.2,4.2,4.2,4.2,4.19,3.8,3.8,3.8,3.8,3.8,3.8,4.74,4.8,4.8,4.79,3.6,3.6,3.11,4.07,5.18,5.5,5.5,5.44,3,3,3,3,3,3,3,3,3,3,3.31,4.6,3.6,4.79,5,5,5,5,4.99,4.6
"4","A4",5,5,4.73,4.4,4.4,4.38,4.3,4.3,4.29,4.2,4.1,4.1,4,4,4,3.83,3.92,4.18,4.2,4.3,3.99,3.41,3.2,3.24,3.3,3.3,3.3,3.3,3.3,3.3,3.46,4.03,4.2,4.1,3.92,4.2,4.49,4.59,4.7,4.61,4.4,4.3,4.2,4.01,3.8,3.72,3.6,3.6,3.6,3.44,3.3,3.14,3.1,3,2.87,3,3,3,3.05
"5","A5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.76,6.67,6.85,6.87
"6","A6",5,5,4.79,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.52,4.7,4.7,4.7,4.67,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.59,4.6,4.6,4.6,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
"7","A7",5,4.82,4.3,3.88,2.84,2,1.84,1.97,2,1.74,1.4,1.4,1.4,1.41,2,2,2.53,3,3,2.43,2.4,2.4,1.67,1.59,1.21,1,1,1,1.13,1.94,1.57,1.5,1.5,1.41,2.98,3.96,4,4,1.91,1.07,1.82,1.07,1.37,1.89,1.4,1.4,1.4,1.4,1.4,1.51,1.5,2,2,2,2.9,3,3,2.3,1
"8","A8",5,5,5.01,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.96,5.81,5.2,5.2,5.21,5.83,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.4,4.5,4.5,4.5,4.5,4.43,2.99,2.3,2.34,2.4,2.4,2.7,4.84,7.52,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.69,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.6,7.6,7.6
"9","A9",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7.34
"10","A10",5,5,5.03,5.2,5.68,5.87,6.4,6.56,6.7,6.7,6.7,6.89,6.9,6.9,6.7,6.5,6.34,6.2,6.1,6.1,6.1,6.1,6.11,6.46,6.51,6.8,6.83,7,7.1,7.1,7.1,7.06,6.81,6.8,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.92,7.1,7.1,7.2,7.2,7.2,7.2,7.07,7,6.96,6.9,6.9,6.9,6.8,6.8,6.8
"11","A11",5,5,5,5,5,4.51,4.1,4.11,5.5,5.5,5.5,5.5,5.5,4.4,4.4,4.4,3.9,3.9,3.9,5.1,5.1,5.1,5.1,5.18,5.7,5.7,5.7,5.7,5.7,6.04,6.2,6.12,6.27,4.6,4.76,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,5.59,4.77,4.4,5.14,5.4,5.4,5.4,5.4,5.4,5.08,4.6,4.6,4.6,4.6,4.6,4.6
"12","A12",5,5,5.09,5.43,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.88,4.06,4,4,4,4,4,4,4,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.79,3.5,3.5,3.5,3.53,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.02,4.99,5,5,5,5,5,5,5,4.6,4.6
"13","A13",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.34,3.9,3.9,3.9,3.9,3.9,3.9,4.07,4.2,4.2,4.2,4.22,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,4.26,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
"14","A14",5,5,5,5,5,5,5,5,5,5,5,5,5,4.81,3,3,3,3,3,3,2.09,2,2,2,2,2,2,2,2.02,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.24,2,2,2,2,2,2,2,2,2,2,2,2,2
"15","A15",5,5.08,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.42,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.83,6,6,6,6,6,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
"16","A16",5,5,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.49,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.48,5.3,5.1,5.1,5.1,5.1,5.1,5.32,5.7,5.7,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,6.14,6.2,6.2
