"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122"
"1","A1",5,5,5,4.98,4.54,4.07,4,4,4,4,4,4,3.98,3.6,3.3,3.3,3.3,3.3,3.3,3.26,3,3,2.72,2.4,2.4,2.67,3.26,3.3,3.3,3.3,3.12,2.8,2.7,2.7,2.7,2.7,2.41,2.1,2,2,2,2,2,1.94,1.74,1.7,1.7,1.7,1.87,2.07,2.25,2.56,2.79,3.22,3.23,3.1,3.1,3.1
"2","A2",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.8,4.8,5.32,5.6,5.74,5.94,6,6,6.2,6.2,6.2,6.3,6.4,6.4,6.4,6.59,6.6,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.87,6.9,6.9,6.9,7,7,7,7.1,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
"3","A3",5,5,5,4.9,5.09,4.8,4.7,5.76,4.6,4.6,4.6,4.38,4,4,3.91,3.67,3.7,3.7,4.17,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.98,5,5,4.56,3.5,3.5,3.5,3.5,3.5,3,4.06,6.3,6,5.99,5.8,5.8,5.8,5.8,5.4,5.18,4.7,4.91,5.2,5.16,4.8,4.8,4.8,4.42,4.4,4.4,4.4
"4","A4",5,5.18,5.92,6.1,6.1,6.17,6.2,6.24,6.4,6.4,6.51,7.09,7.3,7.33,7.4,7.4,7.42,7.76,7.8,7.82,7.92,8.1,8.1,8.17,8.2,8.1,8,8,7.98,8.3,8.3,8.3,8.4,8.32,8.3,8.3,8.37,8.4,8.4,8.3,8.02,7.8,7.8,8,8,8,8.04,8.1,8.1,8.1,8,7.8,7.82,8.1,8.1,8.1,7.8,7.68
"5","A5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.83,4.87,6.11,6.05,4.39,5.04,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"6","A6",5,5,5,5,5,5,5,5,5,5,5,4.84,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.68,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.59,4.5,4.5,4.5
"7","A7",5,5.01,6,6,6,5.98,4.03,4,4,4,4,4,4.23,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.63,6,6,6,6,6,6,6.38,6.4,4.63,3.5,3.46,3,3.18,4.08,5.08,5,5.11,5.7,5.7,5.75,6,6.03,6.58,6.4,6.4,6.07,6.05,6.51,7,7,7,7,7,7,7,7,7
"8","A8",5,5,5.54,6.2,6.2,6.2,6.17,4.21,3.5,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.76,6.8,7,7.1,7.31,7.4,7.17,6.49,5.8,5.8,5.8,5.8,5.93,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.47,6.6,6.57,5.53,6.8,6.8,6.8,5.33,4.7,4.7,4.9,4.9,4.9,4.99,5.72,7,6.81,6.6,6.6
"9","A9",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.12,6.4,7.01,6.93,6.9,6.9,6.8,6.8,6.8,6.8,6.78,6.7,6.7
"10","A10",5,5,5,5,5,5,5.45,5.9,5.98,6.1,6.1,6.14,6.2,6.2,6.2,6.2,6.2,6.1,6.2,6.2,6.2,6.2,6.2,6.5,6.68,6.7,6.7,6.7,6.7,6.7,6.5,6.3,6.26,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.5,6.69,6.7,6.77,6.8,6.8,6.8,7.03,7.1,7.1,7.1,7.1,7.1,7.1,7.23,7.5,7.51,7.6
