"","Anger_1","Anger_2","Anger_3","Happiness_1","Happiness_2","Happiness_3","Sadness_1","Sadness_2","Sadness_3","Tenderness_1","Tenderness_2","Tenderness_3"
"V8",4.99,5,5,5,5,5,5,5,5,5,5,5
"V10",3.84,4.99,3.8,5.11,5.52,5.36,4.73,5,5,5.06,5,5
"V12",3.6,4.48,3.49,6.02,6.3,5.6,4.4,4.49,5.09,5.52,5.3,5.34
"V14",3.5,4,3.36,6.76,6.5,5.8,4.08,4.4,5.01,6.51,5.66,5.8
"V16",3.2,3.99,3.39,7.1,6.7,6.06,3.76,4.4,4.93,6.59,6.01,6.87
"V18",2.77,3.62,2.96,7.17,6.7,7,3.54,4.04,5.43,6.09,6.3,7.32
"V20",2.6,3.6,3.01,7.3,6.7,7,3.43,4,5.6,5.39,5.88,7.81
"V22",2.6,3.6,3.08,7.3,6.83,7,3.43,4,5.6,6.08,5.43,8.16
"V24",2.7,3.4,2.91,7.3,7,7,3.14,4,5.6,6.77,5.01,7.82
"V26",2.7,3.4,3.18,7.95,7,6.81,3.02,4,5.41,7.36,4.86,8.11
"V28",2.68,3.01,2.93,8.1,7.05,6.6,2.84,3.63,5.1,6.89,5.31,8.26
"V30",2.5,2.67,2.9,8.04,7.2,6.6,2.7,3.56,5.44,6.97,6.06,8.3
"V32",2.6,2.4,2.81,6.5,7.2,6.59,2.83,3.4,5.88,7.4,6.72,7.88
"V34",2.6,2.04,2.7,6.5,7.2,6.6,2.69,3.4,5.9,7.29,6.74,7.5
"V36",5.03,2,2.81,6.36,6.91,6.34,2.56,3.4,5.89,6.67,6.9,8.59
"V38",6.14,2,3.2,6.2,6.62,6.3,2.6,3.4,5.89,7.02,7.31,8.53
"V40",6.67,1.99,2.74,6.3,6.6,6.4,3.03,3.2,5.99,7.38,7.73,8.33
"V42",6.7,1.7,2.31,6.3,6.5,6.36,2.87,3.2,5.97,7.17,8.08,8.8
"V44",6.71,1.7,2.97,6.5,6.58,5.7,2.5,3.7,5.92,7.47,8.41,8.62
"V46",7,1.64,3.19,6.5,6.7,5.66,2.72,3.7,5.54,7.33,8.83,8.32
"V48",7,1.3,2.63,6.4,6.72,5.88,2.7,3.7,5.3,7.37,9,8.2
"V50",7,1.3,2.04,6.3,6.8,6.4,2.39,3.57,5.52,7.28,9,8.39
"V52",7,1.3,3.06,6.39,6.51,7.39,2.17,3.5,5.7,7.08,9,8.3
"V54",5.24,1.3,3.06,7.64,6.5,8,2.01,3.34,5.52,7.2,NA,8.2
"V56",4.1,1.3,2.57,8.44,6.5,8,2,2.9,5.88,7.46,NA,8.2
"V58",4.1,1.21,2.33,8.8,6.5,8,2.32,2.9,5.54,7.6,NA,8.2
"V60",4.1,1.2,2.4,8.9,6.6,8.19,2.33,2.9,5.16,7.8,NA,8.12
"V62",4.6,1.2,2,8.9,6.62,8.4,2.11,3.47,4.8,NA,NA,7.82
"V64",6.58,1.2,1.6,8.9,6.7,7.91,2.49,3.49,4.39,NA,NA,7.8
"V66",3.9,1.1,1.49,8.9,7,7.8,2.84,3,4.2,NA,NA,7.64
"V68",2.67,1.1,1.08,9,7.63,7.8,3.04,3,4.39,NA,NA,7.6
"V70",2.5,1.1,1.13,9,7.88,7.36,3.13,3.09,4.08,NA,NA,NA
"V72",2.32,1.1,1.98,NA,7.92,7.2,2.86,3.2,4.18,NA,NA,NA
"V74",2.02,1.13,2.3,NA,8,7.04,2.56,3.4,4.14,NA,NA,NA
"V76",2,1.17,2.3,NA,8.22,7,2.42,3.32,3.93,NA,NA,NA
"V78",1.97,1.1,2.26,NA,8.7,NA,3.47,3.2,4.07,NA,NA,NA
"V80",1.9,1.1,1.89,NA,9,NA,3.75,3.2,4.34,NA,NA,NA
"V82",NA,1.1,2.5,NA,9,NA,3.8,3.21,4.4,NA,NA,NA
"V84",NA,1.3,2.5,NA,9,NA,3.66,3.3,4.36,NA,NA,NA
"V86",NA,1.61,2.5,NA,NA,NA,3.5,2.9,4.32,NA,NA,NA
"V88",NA,1.62,2.72,NA,NA,NA,3.4,2.8,4.4,NA,NA,NA
"V90",NA,1,1,NA,NA,NA,3.3,2.7,4.4,NA,NA,NA
"V92",NA,NA,NA,NA,NA,NA,3.17,2.7,NA,NA,NA,NA
"V94",NA,NA,NA,NA,NA,NA,3.02,2.7,NA,NA,NA,NA
"V96",NA,NA,NA,NA,NA,NA,2.93,2.7,NA,NA,NA,NA
"V98",NA,NA,NA,NA,NA,NA,2.71,2.7,NA,NA,NA,NA
"V100",NA,NA,NA,NA,NA,NA,2.58,2.7,NA,NA,NA,NA
"V102",NA,NA,NA,NA,NA,NA,2.46,2.72,NA,NA,NA,NA
"V104",NA,NA,NA,NA,NA,NA,2.31,3.3,NA,NA,NA,NA
"V106",NA,NA,NA,NA,NA,NA,2.2,3.3,NA,NA,NA,NA
"V108",NA,NA,NA,NA,NA,NA,2.1,3.49,NA,NA,NA,NA
"V110",NA,NA,NA,NA,NA,NA,2.17,3.5,NA,NA,NA,NA
"V112",NA,NA,NA,NA,NA,NA,2.48,4.01,NA,NA,NA,NA
"V114",NA,NA,NA,NA,NA,NA,2.72,4.02,NA,NA,NA,NA
"V116",NA,NA,NA,NA,NA,NA,2.92,3,NA,NA,NA,NA
"V118",NA,NA,NA,NA,NA,NA,3.1,3,NA,NA,NA,NA
"V120",NA,NA,NA,NA,NA,NA,3.1,3,NA,NA,NA,NA
"V122",NA,NA,NA,NA,NA,NA,3.1,3,NA,NA,NA,NA
"V124",NA,NA,NA,NA,NA,NA,2.99,NA,NA,NA,NA,NA
